Site,Grid_type
MYW01,Leopard
MYW02,Small
MYW03,Leopard
MYW04,Leopard
MYW05,Leopard
MYW06,Leopard
MYW07,Leopard
MYW08,Small
MYW09,Small
MYW10,Leopard
MYW11,Leopard
MYW12,Leopard
MYW13,Small
MYW14,Small
MYW15,Small
MYW16,Leopard
MYW17,Small
MYW18,Small
MYW19,Leopard
MYW20,Leopard
MYW21,Small
MYW22,Small
MYW23,Leopard
MYW24,Leopard
MYW25,Small
MYW26,Leopard
MYW27,Leopard
MYW28,Small
MYW29,Leopard
MYW30,Small
MYW31,Leopard
MYW32,Small
MYW33,Leopard
MYW34,Small
MYW35,Leopard
MYW36,Leopard
MYW37,Leopard
MYW38,Small
MYW39,Leopard
MYW40,Small
MYW41,Small
MYW42,Leopard
MYW43,Small
MYW44,Leopard
MYW45,Leopard
MYW46,Leopard
MYW47,Leopard
MYW48,Small
MYW49,Leopard
MYW50,Leopard
MYW51,Small
MYW52,Small
MYW53,Leopard
MYW54,Small
MYW55,Leopard
MYW56,Leopard
MYW57,Leopard
MYW58,Small
MYW59,Small
MYW60,Leopard
MYW61,Small
MYW62,Leopard
MYW63,Small
MYW64,Leopard
MYW65,Leopard
MYW66,Leopard
MYW67,Small
MYW68,Leopard
MYW69,Leopard
MYW70,Small
MYW71,Leopard
MYW72,Small
MYW73,Small
MYW74,Leopard
MYW75,Small
MYW76,Leopard
MYW77,Small
MYW78,Small
MYW79,Leopard
MYW80,Small
MYW81,Leopard
MYW82,Small
MYW83,Leopard
MYW84,Leopard
MYW85,Small
MYW86,Leopard
MYW87,Leopard
MYW88,Small
MYW89,Leopard
MYW90,Leopard
MYW91,Leopard
MYW92,Leopard
MYW93,Leopard
MYW94,Leopard
MYW95,Leopard
MYW96,Leopard
MYW97,Small
MYW98,Leopard
MYW99,Small
MYW100,Leopard
